student_id,module_id,state
0,13,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
1,4818,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Ha\u00efti""}, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}}"
2,3535,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""\u00c9tats-Unis""}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}}"
3,1044,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""France""}}"
4,3977,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
5,4884,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
6,4533,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": false, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
7,4084,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
8,332,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
9,3421,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
10,299,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}}"
11,4726,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": false, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
12,4857,i4x://TELUQ/TUL2/problem/0704643ff2e943dbae4bffcae0bb7d82,"{""correct_map"": {}, ""seed"": 1, ""done"": null, ""input_state"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": {}}, ""student_answers"": {""i4x-TELUQ-TUL2-problem-0704643ff2e943dbae4bffcae0bb7d82_2_1"": ""Canada - Qc""}}"
